Mar 30 03:58:10 3dr_solo local0.info +532 pixrc: main: built Jan 26 2020 18:39:40
Mar 30 03:58:10 3dr_solo local0.info +549 pixrc: main: rcSourceIps: 10.1.1.1,127.0.0.1
Mar 30 03:58:10 3dr_solo local0.info +549 pixrc: main: rcDestPort:  5005
Mar 30 03:58:10 3dr_solo local0.info +553 pixrc: main: rcDsmDev:    /dev/ttymxc2
Mar 30 03:58:10 3dr_solo local0.info +553 pixrc: main: Throttle PWM in  1000...2000
Mar 30 03:58:10 3dr_solo local0.info +554 pixrc: main:          PWM out 1000...1900
Mar 30 03:58:10 3dr_solo local0.info +554 pixrc: main: Other    PWM in  1000...2000
Mar 30 03:58:10 3dr_solo local0.info +554 pixrc: main:          PWM out 1000...2000
Mar 30 03:58:10 3dr_solo local0.info +554 pixrc: udp: listening on port 5005
Mar 30 03:58:11 3dr_solo local0.info +003 pixrc: serial: started
Mar 30 03:58:13 3dr_solo local0.info +735 pixrc: cmd: uplink attached
Mar 30 03:58:20 3dr_solo local0.info +585 pixrc: a:21,m:404,n:480,u:0,d:0,o:0,q:4288,udp=50068,ser=25449
Mar 30 03:58:30 3dr_solo local0.info +586 pixrc: a:20,m:41,n:500,u:0,d:0,o:0,q:2496,udp=40978,ser=21134
Mar 30 03:58:40 3dr_solo local0.info +585 pixrc: a:20,m:39,n:500,u:0,d:0,o:0,q:0,udp=38809,ser=20777
Mar 30 03:58:50 3dr_solo local0.info +588 pixrc: a:20,m:39,n:500,u:0,d:0,o:0,q:0,udp=38630,ser=23616
Mar 30 03:59:00 3dr_solo local0.info +585 pixrc: a:20,m:38,n:500,u:0,d:0,o:0,q:2496,udp=38287,ser=20938
Mar 30 03:59:10 3dr_solo local0.info +586 pixrc: a:20,m:56,n:500,u:0,d:0,o:0,q:2496,udp=46099,ser=20738
Mar 30 03:59:20 3dr_solo local0.info +593 pixrc: a:20,m:39,n:500,u:0,d:0,o:0,q:0,udp=38721,ser=20699
Mar 30 03:59:30 3dr_solo local0.info +586 pixrc: a:20,m:39,n:500,u:0,d:0,o:0,q:0,udp=38502,ser=20923
Mar 30 03:59:40 3dr_solo local0.info +587 pixrc: a:20,m:32,n:500,u:0,d:0,o:0,q:0,udp=32328,ser=20949
Mar 30 03:59:50 3dr_solo local0.info +586 pixrc: a:20,m:37,n:500,u:0,d:0,o:0,q:2496,udp=36596,ser=21065
Mar 30 04:00:00 3dr_solo local0.info +586 pixrc: a:20,m:27,n:500,u:0,d:0,o:0,q:0,udp=27404,ser=20966
Mar 30 04:00:10 3dr_solo local0.info +591 pixrc: a:20,m:35,n:500,u:0,d:0,o:0,q:0,udp=35469,ser=20645
Mar 30 04:00:20 3dr_solo local0.info +586 pixrc: a:20,m:32,n:500,u:0,d:0,o:0,q:0,udp=31896,ser=21100
Mar 30 04:00:30 3dr_solo local0.info +588 pixrc: a:20,m:72,n:500,u:0,d:0,o:0,q:7488,udp=47586,ser=21233
Mar 30 04:00:40 3dr_solo local0.info +586 pixrc: a:20,m:75,n:500,u:0,d:0,o:0,q:4992,udp=45056,ser=20984
