
2023-03-30 03:58:09,162 proc_top starting

2023-03-30 03:58:19,183
   pid name                  utime  stime  pct
   836 (python)                 36      5   4%
    13 (kworker/0:1)             0     23   2%
   710 (wpa_supplicant)         10      3   1%
    71 (mmcqd/0)                 0      7   1%
    24 (ipu1_task)               0      6   1%

2023-03-30 03:58:29,183
   pid name                  utime  stime  pct
   907 (python)                108     10  12%
   910 (python)                 43     14   6%
   908 (python)                 36      4   4%
   903 (vidsrc:src)              8     19   3%
   892 (pixrc_udp)              12     14   3%
   894 (telem_down)              3     23   3%
   890 (python)                 19      7   3%
    71 (mmcqd/0)                 0     11   1%
    13 (kworker/0:1)             0      7   1%
    24 (ipu1_task)               0      7   1%
   879 (dataflash_logge)         2      4   1%
   909 (python)                  3      2   1%

2023-03-30 03:58:39,183
   pid name                  utime  stime  pct
   907 (python)                111      7  12%
   910 (python)                 47     10   6%
   908 (python)                 34      6   4%
   903 (vidsrc:src)             16     12   3%
   892 (pixrc_udp)              11     16   3%
   894 (telem_down)              6     20   3%
   890 (python)                 17      8   3%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         1      5   1%
    71 (mmcqd/0)                 0      5   1%
   909 (python)                  4      1   1%

2023-03-30 03:58:49,183
   pid name                  utime  stime  pct
   907 (python)                109      7  12%
   910 (python)                 48      9   6%
   908 (python)                 37      3   4%
   903 (vidsrc:src)             18     10   3%
   892 (pixrc_udp)              11     16   3%
   894 (telem_down)              5     21   3%
   890 (python)                 17      7   2%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         1      5   1%
   897 (pixrc_ser)               0      5   1%
   909 (python)                  5      0   1%

2023-03-30 03:58:59,183
   pid name                  utime  stime  pct
   907 (python)                110      8  12%
   910 (python)                 54      4   6%
   908 (python)                 35      6   4%
   892 (pixrc_udp)               0     40   4%
   903 (vidsrc:src)             17     10   3%
   890 (python)                 15     11   3%
   894 (telem_down)              2     23   3%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         2      4   1%
   909 (python)                  5      0   1%

2023-03-30 03:59:09,183
   pid name                  utime  stime  pct
   907 (python)                112      5  12%
   910 (python)                 45     12   6%
   908 (python)                 35      6   4%
   892 (pixrc_udp)               0     35   4%
   903 (vidsrc:src)             20      7   3%
   894 (telem_down)              5     20   3%
   890 (python)                 17      8   3%
    13 (kworker/0:1)             0      7   1%
    24 (ipu1_task)               0      7   1%
   879 (dataflash_logge)         0      5   1%
   897 (pixrc_ser)               3      2   1%
   909 (python)                  5      0   1%

2023-03-30 03:59:19,183
   pid name                  utime  stime  pct
   907 (python)                111      6  12%
   910 (python)                 49      8   6%
   908 (python)                 32      8   4%
   903 (vidsrc:src)             14     14   3%
   894 (telem_down)              2     24   3%
   892 (pixrc_udp)               0     25   3%
   890 (python)                 21      4   3%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         1      5   1%
   897 (pixrc_ser)               0      5   1%
   909 (python)                  4      1   1%

2023-03-30 03:59:29,183
   pid name                  utime  stime  pct
   907 (python)                114      3  12%
   910 (python)                 44     13   6%
   908 (python)                 35      6   4%
   892 (pixrc_udp)               0     27   3%
   903 (vidsrc:src)             17     10   3%
   894 (telem_down)              4     21   3%
   890 (python)                 18      7   3%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         1      5   1%

2023-03-30 03:59:39,183
   pid name                  utime  stime  pct
   907 (python)                110      7  12%
   910 (python)                 41     16   6%
   908 (python)                 34      5   4%
   903 (vidsrc:src)             11     17   3%
   894 (telem_down)              3     23   3%
   890 (python)                 18      6   2%
   892 (pixrc_udp)               0     15   2%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         3      3   1%
   909 (python)                  5      0   1%

2023-03-30 03:59:49,183
   pid name                  utime  stime  pct
   907 (python)                110      7  12%
   910 (python)                 49      9   6%
   908 (python)                 35      5   4%
   903 (vidsrc:src)             17     11   3%
   892 (pixrc_udp)               0     26   3%
   894 (telem_down)              2     23   3%
   890 (python)                 18      7   3%
    13 (kworker/0:1)             0      7   1%
    24 (ipu1_task)               0      7   1%
   879 (dataflash_logge)         2      3   1%
   897 (pixrc_ser)               0      5   1%
   909 (python)                  5      0   1%

2023-03-30 03:59:59,183
   pid name                  utime  stime  pct
   907 (python)                116      1  12%
   910 (python)                 41     16   6%
   908 (python)                 35      6   4%
   903 (vidsrc:src)             18      9   3%
   894 (telem_down)              5     21   3%
   890 (python)                 19      6   3%
   892 (pixrc_udp)               6     16   2%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         1      5   1%
   909 (python)                  5      0   1%

2023-03-30 04:00:09,183
   pid name                  utime  stime  pct
   907 (python)                114      3  12%
   910 (python)                 41     16   6%
   908 (python)                 35      5   4%
   903 (vidsrc:src)             15     13   3%
   892 (pixrc_udp)              25      2   3%
   894 (telem_down)              2     24   3%
   890 (python)                 19      6   3%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         3      3   1%

2023-03-30 04:00:19,183
   pid name                  utime  stime  pct
   907 (python)                109      9  12%
   910 (python)                 39     19   6%
   908 (python)                 31      9   4%
   903 (vidsrc:src)             15     13   3%
   892 (pixrc_udp)               0     27   3%
   894 (telem_down)              4     21   3%
   890 (python)                 16      9   3%
    13 (kworker/0:1)             0      8   1%
    24 (ipu1_task)               0      8   1%
   879 (dataflash_logge)         2      4   1%
   909 (python)                  5      0   1%

2023-03-30 04:00:29,183
   pid name                  utime  stime  pct
   907 (python)                110      6  12%
   910 (python)                 41     17   6%
   908 (python)                 31      9   4%
   892 (pixrc_udp)               6     21   3%
   903 (vidsrc:src)             19      8   3%
   894 (telem_down)              1     25   3%
   890 (python)                 24      1   3%
    13 (kworker/0:1)             0      7   1%
    24 (ipu1_task)               0      7   1%
   879 (dataflash_logge)         2      3   1%
   897 (pixrc_ser)               0      5   1%
   909 (python)                  4      1   1%

2023-03-30 04:00:39,183
   pid name                  utime  stime  pct
   907 (python)                115      2  12%
   910 (python)                 40     17   6%
   908 (python)                 36      5   4%
   903 (vidsrc:src)             16     12   3%
   892 (pixrc_udp)               0     27   3%
   894 (telem_down)              3     23   3%
   890 (python)                 20      5   3%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      6   1%
   879 (dataflash_logge)         2      4   1%

2023-03-30 04:00:49,183
   pid name                  utime  stime  pct
   907 (python)                113      4  12%
   910 (python)                 44     13   6%
   908 (python)                 30     10   4%
   892 (pixrc_udp)               0     37   4%
   903 (vidsrc:src)             19      9   3%
   894 (telem_down)              3     22   3%
   890 (python)                 20      5   3%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         1      5   1%
   909 (python)                  4      1   1%

2023-03-30 04:00:59,183
   pid name                  utime  stime  pct
   907 (python)                113      3  12%
   910 (python)                 46     11   6%
   908 (python)                 31      9   4%
   903 (vidsrc:src)             16     11   3%
   894 (telem_down)              2     24   3%
   890 (python)                 15     10   3%
   892 (pixrc_udp)               6     11   2%
    24 (ipu1_task)               0      8   1%
    13 (kworker/0:1)             0      7   1%
   879 (dataflash_logge)         2      4   1%
   909 (python)                  5      0   1%

2023-03-30 04:01:09,183
   pid name                  utime  stime  pct
